Level,Degree,Term,Course,CourseID,Type,CreditHours,Grade
U,BS1,1,CourseBS38,CBS38,Major,1,64
U,BS1,1,CourseBS1,CBS1,Minor,4,85
U,BS1,1,CourseBS14,CBS14,Major,1,79
U,BS1,1,CourseBS7,CBS7,Minor,3,75
U,BS1,2,CourseBS28,CBS28,Major,1,83
U,BS1,2,CourseBS45,CBS45,Minor,4,96
U,BS1,2,CourseBS26,CBS26,Major,3,87
U,BS1,2,CourseBS33,CBS33,Minor,2,82
U,BS1,3,CourseBS8,CBS8,Major,2,54
U,BS1,3,CourseBS33,CBS33,Minor,3,57
U,BS1,3,CourseBS26,CBS26,Major,2,66
U,BS1,3,CourseBS7,CBS7,Minor,4,64
U,BS1,4,CourseBS30,CBS30,Major,2,55
U,BS1,4,CourseBS33,CBS33,Minor,3,62
U,BS1,4,CourseBS4,CBS4,Major,2,81
U,BS1,4,CourseBS41,CBS41,Minor,1,88
U,BS1,5,CourseBS34,CBS34,Major,2,66
U,BS1,5,CourseBS31,CBS31,Minor,4,57
U,BS1,5,CourseBS20,CBS20,Major,2,84
U,BS1,5,CourseBS7,CBS7,Minor,1,65
